Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Alves, Luciano FS; Gomes, Ruan CM; Lefranc, Pierre; Pegado, Raoni De A; Jeannin, Pierre-Olivier; Luciano, Benedito A; Rocha, Filipe V; ",SIC power devices in power electronics: An overview,2017 Brazilian Power Electronics Conference (COBEP),,,1-8,2017,IEEE
"Gajewski, Donald A; Hull, Brett; Lichtenwalner, Daniel J; Ryu, Sei-Hyung; Bonelli, Eric; Mustain, Habib; Wang, Gangyao; Allen, Scott T; Palmour, John W; ",SiC power device reliability,2016 IEEE International Integrated Reliability Workshop (IIRW),,,29-34,2016,IEEE
"Buffolo, M; Favero, D; Marcuzzi, A; De Santi, C; Meneghesso, G; Zanoni, E; Meneghini, M; ","Review and outlook on GaN and SiC power devices: Industrial state-of-the-art, applications, and perspectives",IEEE Transactions on Electron Devices,71,3,1344-1355,2024,IEEE
"Kimoto, Tsunenobu; ",High-voltage SiC power devices for improved energy efficiency,"Proceedings of the Japan academy, series B",98,4,161-189,2022,The Japan Academy
"Chen, Zibo; Huang, Alex Q; ",Extreme high efficiency enabled by silicon carbide (SiC) power devices,Materials Science in Semiconductor Processing,172,,108052,2024,Elsevier
"Baliga, B Jayant; ",Silicon carbide power devices: Progress and future outlook,IEEE Journal of Emerging and Selected Topics in Power Electronics,11,3,2400-2411,2023,IEEE
"Kimoto, T; Yonezawa, Y; ",Current status and perspectives of ultrahigh-voltage SiC power devices,Materials Science in Semiconductor Processing,78,,43-56,2018,Elsevier
"Xun, Qian; Xun, Boyang; Li, Zuxin; Wang, Peiliang; Cai, Zhiduan; ",Application of SiC power electronic devices in secondary power source for aircraft,Renewable and Sustainable Energy Reviews,70,,1336-1342,2017,Elsevier
"Yuan, Xibo; Laird, Ian; Walder, Sam; ","Opportunities, challenges, and potential solutions in the application of fast-switching SiC power devices and converters",IEEE Transactions on Power Electronics,36,4,3925-3945,2020,IEEE
"Kimoto, T; Iijima, A; Tsuchida, H; Miyazawa, T; Tawara, T; Otsuki, A; Kato, T; Yonezawa, Y; ",Understanding and reduction of degradation phenomena in SiC power devices,2017 IEEE International Reliability Physics Symposium (IRPS),,,2A-1.1-2A-1.7,2017,IEEE
"Lauenstein, Jean-Marie; Casey, Megan C; Ladbury, Ray L; Kim, Hak S; Phan, Anthony M; Topper, Alyson D; ",Space radiation effects on SiC power device reliability,2021 IEEE International Reliability Physics Symposium (IRPS),,,1-8,2021,IEEE
