"标题","作者","机构","年份","期刊","摘要","关键词","参考文献","DOI"
"Design and Demonstration of a 10 kV, 60 A SiC MOSFET-Based Medium-Voltage Power Module","Xiao, K; Zhang, YN; Tan, SM; Pan, JY; Feng, H; Liang, YX; Zeng, Z","","","","Silicon carbide (SiC) MOSFETs with voltage ratings above 3.3 kV are emerging as key enablers for next-generation medium-voltage (MV) power conversion systems, offering superior blocking capabilities, faster switching speeds, and an improved thermal performance compared to conventional silicon IGBTs. However, the practical deployment of 10 kV SiC devices remains constrained by the immaturity of high-voltage chip and packaging technologies. Current development is often limited to engineering samples provided by a few suppliers and custom packaging solutions evaluated only in laboratory settings. To advance the commercialization of 10 kV SiC power modules, this paper presents the design and characterization of a 10 kV, 60 A half-bridge module employing the XHP housing and newly developed SiC MOSFET chips from China Electronics Technology Group Corporation (CETC). Electro-thermal simulations based on a finite element analysis were conducted to extract key performance parameters, with a measured parasitic inductance of 24 nH and a thermal resistance of 0.0948 K/W. To further validate the packaging concept, a double-pulse test platform was implemented. The dynamic switching behavior of the module was experimentally verified under a 6 kV DC-link voltage, demonstrating the feasibility competitiveness of this approach and paving the way for the industrial adoption of 10 kV SiC technology in MV applications.","medium voltage; SiC MOSFET module; parasitic inductance; thermal impedance; dynamic characterization","",""
"Single event burnout of SiC MOSFET induced by atmospheric neutrons","Mo, LH; Yu, QZ; Hu, ZL; Zhou, B; Yi, TC; Yuan, LB; Lin, L; Shen, F; Liang, TJ","","","","The mechanisms responsible for atmospheric neutron induced single event burnout (SEB) in commercial silicon carbide (SiC) power MOSFETs were investigated and analyzed. Firstly, based on the atmospheric neutron irradiation spectrometer (ANIS) at the China spallation neutron source (CSNS), accelerated neutron irradiation experiments were carried out to evaluate the dependence of the sensitivity of atmospheric neutrons induced SEB on the drain bias voltage (VDS) in SiC MOSFET. Secondly, microscopic detection and analysis of the burned-out devices were performed at the wafer level by combining microscopy, focused ion beam (FIB) and scanning electron microscope (SEM) to reveal SEB mechanisms inside the semiconductor device. Locally melted morphologies were observed both in the source contact and in the deeper SiC device. Since the melting point of the contact metal is much lower than that of SiC, it is the region where the burnout occurs initially, followed by the vicinity of the n- -drift/n+-drain interface. In addition, combined with the Geant4 calculation and TCAD simulation, the spatiotemporal evolution of the internal electric field and the maximum lattice temperature inside the device after ion incidence were simulated and analyzed. Results show that the strong impact ionization of the carriers induced by the local electric field causes a large amount of energy dissipation in a short time, which eventually leads to thermal damage to the device.","Atmospheric neutron; SiC MOSFET; Single event burnout (SEB); Secondary ions; TCAD simulation","",""
"Experimental Study of the Comparison of the Synergistic Effect of Total Ionizing Dose and Neutron Single Event on Si/SiC MOSFETs","Li, WT; Guo, G; Chen, QM; Zhang, Z; Zhao, SY; Liu, JC; Qin, FD","","","","A comparative study on the synergistic effect of the total ionizing dose and neutron single event effect on a SiC MOSFET and Si MOSFET was performed based on the 60Co gamma source and the high-pressure multiplier 14 MeV neutron source at the China Institute of Atomic Energy. First, a gamma-ray total ionizing dose experiment was performed on these two devices, and the differences in the total ionizing dose damage of the SiC and Si MOSFETs were analyzed. Then, neutron single event effect experiments were performed to investigate the effects of different doses on the single event effect for the devices. The results indicate that the unhardened SiC MOSFET has stronger resistance to the total ionizing dose compared with hardened Si MOSFET. During the 14 MeV neutron irradiation experiment, no single event burnout was observed in either device, but single event transients were observed. Even though the hardened Si MOSFETs are capable of suppressing single event transient currents at a higher drain bias, the trapped charge concentration of SiC MOSFETs due to irradiation is smaller than that of Si MOSFETs, which improves their resistance to the total ionizing dose and makes them less affected by the synergistic effect of the total ionizing dose and neutron single event effects. The research results can provide some guidelines for the radiation hardening technology of power devices used in aerospace and nuclear industries.","SiC MOSFET; single event effect; total ionizing dose; synergistic effect; experimental study","",""
"Effect of silicon carbide and wire-mesh reinforcements in dissimilar grade aluminium explosive clad composites","Saravanan, S; Raghukandan, K","","","","Aluminium composites are inevitable in the manufacture of aircraft structural elements owing to less weight, superior corrosion resistance and higher specific properties. These composites reduce the weight of the aircraft, improve the fuel efficiency and enhance the maintenance duration. This study proposes the development of dissimilar grade aluminium (aluminium 1100-aluminium 5052) composites with different reinforcement's viz., stainless steel wire-mesh, silicon carbide (SiC) powders and SiC powder interspersed wire-mesh, by explosive cladding technique. Wire-mesh enhances the friction and restricts the movement of flyer plate to craft a defect free clad, while SiC particles form a band on the interface. Highest strength is obtained when SiC powder interspersed wire mesh is employed as reinforcement. The dissimilar aluminium explosive clad with SiC particle reinforcement results in lower strength, which is higher than that of the weaker parent alloy and that of the conventional dissimilar aluminium explosive clads without any reinforcement. Copyright (C) 2020 China Ordnance Society. Publishing Services by Elsevier B.V. on behalf of KeAi Communications Co. Ltd.","Explosive cladding; Aluminium; Wire mesh; Silicon carbide; Microstructure; Strength","",""
"Atomic-Level Simulation Study of n-Hexane Pyrolysis on Silicon Carbide Surfaces","Sajib, MSJ; Sarnieegohar, M; Wei, T; Shing, K","","","","Ethylene production plays' a key role in the petrochemical industry. The severe operation conditions of ethylene thermal cracking, such as high temperature and coke-formation, pose challenges for the development of new corrosion-resistant and coking-resistant materials for ethylene reactor radiant coils tubes (RCTs). We investigated the performance of ceramic materials such as silicon carbide (SiC) in severe pyrolysis conditions by using reactive force field molecular dynamics (ReaxFF MD) simulation method. Our results indicate that beta-SiC surface remains fully stable at 1500 K, whereas increased temperature results in melted interface. At 2500 K, frilly grown cross-linked-graphene-like polycyclic aromatic hydrocarbon coking structure on SiC surfaces was observed. Such coking was particularly severe in the carbon-side of the surface slab. The coking structures were mainly derived from surface atoms at the initial 3.0 ns, as a result of the loss of interfacial hydroxyl layer and further hydrothermal corrosion. The SiC substrate surface enhances the ethylene cracking rate and also leads to different intermediate-state compounds. Our fundamental research will have significant and broad impact on both petrochemical industry and academic research in materials science, petrochemistry, and combustion chemistry.","","",""
"Measurement of leakage neutron spectra from silicon carbide cylinders with D-T neutrons and validation of evaluated nuclear data","Luo, F; Han, R; Nie, Y; Chen, Z; Zhang, S; Shi, F; Lin, W; Ren, P; Tian, G; Sun, Q; Gou, B; Ruan, X; Ren, J; Ye, M","","","","Benchmarking of evaluated nuclear data libraries was performed for 14 MeV neutrons on silicon carbide samples. The experiments were carried out by using the benchmark experimental facility at China Institute of Atomic Energy (CIAE). The leakage neutron spectra from SiC (Phi 13 cm x 20 cm) at 60 degrees and 120 degrees and SiC (Phi 13 cm x 2 cm) at 60 degrees were measured by the TOF method. The measured spectra are well reproduced by MCNP-4C calculations with the CENDL-3.1, ENDF/B-VII.1 and JENDL-4.0 evaluated nuclear data libraries, except 5-8 MeV range for 20 cm thickness. The discrepancies are mostly considered as caused by the improper evaluation of the angular distribution and secondary neutron energy distribution of the elastic scattering and inelastic scattering in evaluated nuclear data libraries. (C) 2016 Elsevier B.V. All rights reserved.","Integral experiment; Leakage neutron spectra; Silicon carbide","",""
"Hollow nanostructure of sea-sponge-C/SiC@SiC/C for stable Li+-storage capability","Li, WN; Li, JQ; Wen, JH; Wen, M; Chen, SP; Wu, QS; Fu, YQ","","","","For the purpose of stable performance in energy storage systems, a new hollow nanostructure of seasponge-C/SiC@SiC/C (SCS/SiC@SiC/C) has been successfully fabricated by the SCS/SiC nanospheres coated with SiC/C shells through an in situ reduction process. Based on SCSs and the carbon shells. the stable hollow structures of SCS/SiC@SiC/C can contain large proportion of active SiC layers, which are adhered to both SCSs and the inner surfaces of carbon shells. Such nanostructured anode enables an excellent cycling stability with a capacity of 612 mAh/g at a current density of 0.5 A/g after 1,800 cycles, achieving an excellent stable Li+-storage capability. (C) 2019 Science China Press. Published by Elsevier B.V. and Science China Press. All rights reserved.","SiC; Lithium ion batteries; Cycling stability; Sea-sponge-C/SiC@SiC/C","",""
"Terrestrial neutron induced failure rate measurement of SiC MOSFETs using China spallation neutron source","Peng, C; Lei, ZF; Zhang, ZA; He, YJ; Ma, T; Huang, Y","","","","The atmospheric neutron induced single event burnout (SEB) is observed for SiC MOSFETs by conducting irradiation at China Spallation Neutron Source (CSNS) with maximum energy close to 1.6 GeV. The failure is manifested as a sudden loss of voltage blocking ability during irradiation and a melting region is observed for the device with SEB. The SEB failure rates of SiC MOSFETs are calculated based on the experimental results. It shows that the failure rates increase exponentially with operating voltages. The measured failure rates are consistent with the results obtained at the other spallation neutron sources, which proves that the neutron beam line at CSNS is suitable for SEB testing. The information of the secondary ions produced by neutron is obtained through Monte Carlo simulations and the contributors to SEB are analyzed. A simulation method is also applied to calculate SEB failure rate by considering ionization energy deposition of secondary ions in the sensitive region of SiC devices. The simulated failure rates are also consistent with the experimental results.","SiC MOSFET; Singe event burnout; Spallation neutron source; Terrestrial neutron","",""
"SiC ΔE-E Telescope Based on Free-Standing Epitaxial Film Fabricated by Laser Processing","Han, ZY; Lin, CJ; Ma, NR; Li, JL; Luo, TP; Chang, C; Wang, ZS; Yin, C; Jia, HM; Wang, HY; Shao, WY; An, GP; Yin, H; Liang, HW","","","","The 4H-silicon carbide (SiC) detector has been widely used for detecting charged particles in a strong radiation environment due to its resistance to radiation. The Delta E-E measurement is an important method for particle identification, especially for identifying the atomic number of heavy-ions. However, the existing epitaxial SiC detector has a thick substrate, typically larger than 100 mu m. This dead layer limits the application of SiC in the Delta E-E telescope. In this work, the 4H-SiC substrate was completely removed using the picosecond laser etching process. Benefiting from the stepwise power modulation strategy, the thin films can be free-standing to complete the subsequent processes. Two substrate-free detectors with thicknesses of similar to 17 and 90 mu m were assembled into a Delta E-E telescope. It exhibits a good detection performance. The energy resolution is about 2.1% for Am-241-Pu-239-Cm-244 alpha source. Besides, it has been successfully used in a proton scattering experiment performed at the China Institute of Atomic Energy (CIAE). This work provides a route to fabricate substrate-free 4H-SiC telescopes for detecting low-energy charged-particles.","4H-silicon carbide (SiC); Delta E-E telescope; energy resolution; free-standing; laser etching; substrate-free","",""
"Preparation and properties of a low-cost porous ceramic support from low-grade palygorskite clay and silicon-carbide with vanadium pentoxide additives","Fan, ZR; Zhou, SY; Xue, AL; Li, MS; Zhang, Y; Zhao, YJ; Xing, WH","","","","A low-cost porous ceramic support was prepared from low-grade palygorskite clay (LPGS) and silicon carbide (SiC) with vanadium pentoxide (V2O5) additives by a dry-press forming method and sintering. The effects of SiC-LPGS ratio, pressing pressure, carbon powder pore-forming agent and V2O5 sintering additives on the microstructure and performance of the supports were investigated. The addition of an appropriate amount of SiC to the LPGS can prevent excessive shrinkage of the support during sintering, and increase the mechanical strength and open porosity of the supports. The presence of SiC (34.4%) led to increases in the open porosity and mechanical strength of 40.43% +/- 0.21% and (17.76 +/- 0.51) MPa, respectively, after sintering at 700 degrees C for 3 h. Because of its low melting point, V2O5 can melt to liquid during sintering, which increases the mechanical strength of the supports and retains the porosity. Certainly, this can also encourage efficient use of the LPGS and avoid wasting resources. (C) 2020 The Chemical Industry and Engineering Society of China, and Chemical Industry Press Co., Ltd. All rights reserved.","Low-grade palygorskite clay; Porous ceramic support; SiC; Sintering","",""
